count,confidence,boxes,scores,run_id,timestamp
48,0.8716840169160318,"[[409.78402868 643.46479879  16.92092844 777.04471997]
 [389.40780087 371.8895902  672.8223223  327.20936901]
 [400.18618834  91.19930916 491.32685713 501.22365183]
 [ 35.81417667 145.44762569 176.14482345 746.2966457 ]
 [770.58653586 400.40030261 368.66962948 645.95715931]
 [286.54172826 701.7014412  741.43229442 577.65554409]
 [358.271933   324.95163463 466.12460771 739.13023688]
 [387.51185859   3.42208972 361.0815313  500.30518197]
 [746.75728283 775.686042   760.39799084 293.41843985]
 [673.25657921 553.29347705 573.23970684  78.9082426 ]]","[0.77614857 0.40542608 0.46697352 0.21182551 0.75391591 0.75074629
 0.32635699 0.03420663 0.67272783 0.24405401]",1,2025-03-03T22:45:32.144598
17,0.8418367178641729,"[[405.59188112 186.99011552 218.6542851  613.33164973]
 [419.22300517   3.00094484 395.02512663 396.93039349]
 [178.79434569 332.5626381  198.3773968  429.40980175]
 [206.64005928 764.99044313 280.36548046 433.8228115 ]
 [ 78.20945097 502.07077548 107.37372739 405.30286145]
 [538.09461865 383.5198514  486.13961401 738.91711359]
 [333.44448853  85.61669906  43.64353241 781.00222206]
 [785.80703174 585.15715536  29.57584664  11.99821473]
 [564.15679985  47.02502346  18.21102626 553.00596865]
 [290.74969028 342.95219996 488.60736457 751.55924461]]","[0.83746663 0.90619494 0.63796685 0.14043241 0.86143808 0.3479138
 0.57727072 0.39283054 0.51963787 0.25274757]",2,2025-03-03T22:45:32.153610
20,0.8471403788045728,"[[472.69130648 343.25282711 247.39740179 189.18190151]
 [672.533925     3.66824064 741.91119471 382.55632644]
 [447.18907679  63.07262389  40.51039558 560.58019598]
 [786.29575574 661.30375242  97.62548906 539.29253965]
 [ 65.01222336 403.9723016  357.84577612 794.22871881]
 [635.77417781 257.60127248 637.72167574 320.30606482]
 [522.78268975 336.61078192 722.03800318  63.80682615]
 [651.76396319 151.0653666  190.6560453  234.33098702]
 [242.67224649 244.68796859 645.90708463 328.54968715]
 [253.93463311 256.74625175 318.01312141 575.39814699]]","[0.31931915 0.91127291 0.28355902 0.96077132 0.78636955 0.92771919
 0.1488346  0.02139368 0.51543342 0.77558502]",3,2025-03-03T22:45:32.161800
17,0.8761114173439,"[[362.09634266 358.15381255 713.17029618 354.76839957]
 [501.90106881 393.84007779 786.97227985  26.86960786]
 [565.62925953 260.97460293 785.20189516 329.34538989]
 [297.23886047 369.19298644  33.55749491 418.27244443]
 [406.06469091  55.87627449 386.26285791  22.34309863]
 [286.27637536 660.67157745 233.20944422 647.99710134]
 [595.19288743 694.1742237  661.83673935 428.3746465 ]
 [362.08767212 582.58101147 432.65469203 569.35500452]
 [729.38250078 495.70396448 405.0086466  250.21978559]
 [393.13624774 366.39905484  31.66184485 370.25846409]]","[0.08292126 0.83210623 0.61635216 0.14422377 0.8848879  0.33855569
 0.0265659  0.05594485 0.64773057 0.3731584 ]",4,2025-03-03T22:45:32.170917
43,0.867244045575995,"[[ 73.3096906  700.12347563 797.22978153 756.48518559]
 [337.56150981 696.84537119 712.18447847 736.18937451]
 [411.20062868  18.31314786 437.8819274  221.29892688]
 [378.85276211 335.60195984 317.78839459 585.33752446]
 [636.68006144 720.32724539 738.73183507 657.07487977]
 [460.84544677 478.163745   745.73990394  31.17425471]
 [118.68372532  90.51431376 209.32128166 666.37976247]
 [756.84989136 468.70534986 693.50834951 353.17403578]
 [524.36802808 634.01811317 302.88791257 369.96757402]
 [417.35045121 672.56233121 777.07988432 527.0121636 ]]","[0.003788   0.05894575 0.87941895 0.34143064 0.59482661 0.27248684
 0.35028472 0.37890353 0.41377155 0.83201704]",5,2025-03-03T22:45:32.177916
31,0.9387757223686654,"[[450.74202851 209.00688741 251.29200227 492.00291159]
 [536.53942867  29.65738427  96.39437465 147.53714309]
 [583.97871154 712.56596314 598.25108443 186.12283546]
 [534.25270889 423.51659968 479.75956482 699.82622846]
 [222.61023429 147.66588157 504.75335151 614.6989429 ]
 [545.99105613 583.19329903  38.89877025 776.93233631]
 [185.72835756 264.26176459  30.26729687 215.84500901]
 [343.20811873  61.32176632 496.51107491 189.35088438]
 [181.87517104 328.41341326 639.60270563 439.16406608]
 [308.20362583 513.77592999 693.44637844 785.96010481]]","[0.09541239 0.14484057 0.20797685 0.88683275 0.28330133 0.65846445
 0.25922243 0.50229694 0.99252917 0.69496658]",6,2025-03-03T22:45:32.186407
35,0.8622341511354487,"[[660.66328281 679.22810993  99.63532002 241.19252973]
 [768.00999718 183.59796558 662.64304632 527.91897128]
 [159.0582739   25.69706479 593.05419942 523.04647097]
 [578.96687776 281.50842897 467.0420733   16.32145557]
 [251.67942212 107.13828062 199.56241367  26.12985426]
 [561.95018165 561.52785772 324.05250984 471.93496173]
 [230.27302246  54.31969945 164.37121828 339.14557335]
 [681.57127208 334.29833648 522.88013714 192.54672999]
 [138.39606519 439.47823722 519.08989681 454.76209124]
 [698.755867   467.13817211  25.74613732 702.58997277]]","[0.75587642 0.51690785 0.84531107 0.15625368 0.95198921 0.15305091
 0.75032457 0.3427855  0.62701567 0.55153835]",7,2025-03-03T22:45:32.195138
10,0.8281431086436694,"[[ 16.44571445 529.18198596 388.58385582  49.06467173]
 [164.54134821 712.16121043 509.35634851 534.445562  ]
 [585.53161308 298.83399899 225.59314408 354.29654715]
 [534.68480896 772.989149   648.64425983 711.91240895]
 [728.94468998 174.77919739 576.74650682  36.14950917]
 [335.42770832 165.92513008 710.09515879 487.67360399]
 [131.67806292 594.70897775 163.470728   375.2453856 ]
 [137.53469227 740.04874894 433.6701084  319.80570951]
 [671.92065233 743.85400933 109.65894507 496.83240797]
 [441.45326605  18.38753844  74.30301473 516.53663907]]","[0.82880168 0.41683842 0.63199378 0.28258923 0.64111468 0.73819348
 0.31228359 0.33240752 0.5687844  0.26738176]",8,2025-03-03T22:45:32.204356
39,0.9252811152636998,"[[384.4066261  388.32068876 226.54504035 293.87062897]
 [630.39589976 553.38102075 358.98796906 662.11625808]
 [ 91.3162881  705.77200413   5.41570814 605.25431244]
 [787.38937155 566.65484353 303.59167422 594.824988  ]
 [767.69350073 444.70838425 708.66524611 309.5113546 ]
 [474.49854618 400.82227339 327.9270469  108.27488517]
 [578.05009038 674.45683144 798.4152214  705.37304661]
 [622.29072709 258.37000483 195.75954672 164.23510602]
 [336.47799397 661.88965197 525.94512614 520.94954829]
 [738.72909402 110.21884926 340.27543614 487.51016892]]","[0.85569226 0.54360705 0.71186541 0.11757289 0.79871117 0.28036512
 0.20163331 0.1953122  0.42835096 0.65754998]",9,2025-03-03T22:45:32.216603
24,0.8605840791498793,"[[556.85350927 256.86398594 140.3563692  629.160426  ]
 [486.63034609 123.76362313 380.15314906 625.95922389]
 [660.50434654 164.88903406 124.25803596 578.97216459]
 [615.70755833 114.33335325 688.78508806 697.97360985]
 [764.17027708 433.93266204 325.44060949 278.40892317]
 [380.91025727 290.45238449 561.79466239 736.67430491]
 [162.40513231 308.63637591 457.86240401 263.87685863]
 [497.51264984 718.31357138 629.70972632 253.92715305]
 [223.00466471 256.34060235 540.7644834   81.54017137]
 [136.86336839 449.93877563 753.40766496 218.91731812]]","[0.17263765 0.222785   0.42746644 0.74658748 0.17835973 0.22144779
 0.82754791 0.38858639 0.09774421 0.4064118 ]",10,2025-03-03T22:45:32.226622
